region,valor_original,n_iniciativas,categoria,comunas_matcheadas(cut),nota
XVI,Cobquecura - Coelemu - Coihueco - El Carmen - Pemuco - Portezuelo - Quillón - Quirihue - Ránquil - San Carlos - San Ignacio - San Nicolas - Yungay,1,multi_completo,Cobquecura:16202; Coelemu:16203; Coihueco:16302; El Carmen:16104; Pemuco:16105; Portezuelo:16205; Quillón:16107; Quirihue:16201; Ranquil:16206; San Carlos:16301; San Ignacio:16108; San Nicolás:16305; Yungay:16109,
XVI,Comuna de Coiheco y San Fabián,1,multi_completo,Coihueco:16302; San Fabián:16304,
XVI,Comuna Quirihue,1,match_fuzzy_alias,Quirihue:16201,
XVI,Chilán,1,match_fuzzy_alias,Chillán:16101,
XVI,Chillán-Coihueco,1,multi_completo,Chillán:16101; Coihueco:16302,
XVI,Comuna Pinto,1,match_fuzzy_alias,Pinto:16106,
XVI,"Comuna de Chillán, Bulnes, Chillán Viejo, San Ignacio y Yungay.",1,multi_completo,Chillán:16101; Bulnes:16102; Chillán Viejo:16103; San Ignacio:16108; Yungay:16109,
XVI,Comunas de San Fabián y Coihueco,1,multi_completo,San Fabián:16304; Coihueco:16302,
XVI,"Cobquecura, Dichato",1,multi_completo,Cobquecura:16202; Tomé:8111,Dichato: OTRA REGIÓN (codregion 8)
XVI,Chillán y Chillán Viejo,1,multi_completo,Chillán:16101; Chillán Viejo:16103,
XVI,Bulnes - Chillán - Cobquecura - Coelemu - El Carmen - Ñiquén - Pemuco -Quillón - Quirihue - Ránquil - San Ignacio - San Nicolás - Yungay,1,multi_completo,Bulnes:16102; Chillán:16101; Cobquecura:16202; Coelemu:16203; El Carmen:16104; Ñiquén:16303; Pemuco:16105; Quillón:16107; Quirihue:16201; Ranquil:16206; San Ignacio:16108; San Nicolás:16305; Yungay:16109,
XVI,Bulnes - San Ignacio,1,multi_completo,Bulnes:16102; San Ignacio:16108,
XVI,Regional (Ñuble y Biobío),1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Comuna de Ninhue y Portezuelo,1,multi_completo,Ninhue:16204; Portezuelo:16205,
XVI,"Ñiquén, San Carlos, San Nicolás, Chillán, Chillán Viejo (y otras comunas de Maule)",1,multi_completo,Ñiquén:16303; San Carlos:16301; San Nicolás:16305; Chillán:16101; Chillán Viejo:16103,
XVI,Comuna,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Comuna de Coelemu,1,match_fuzzy_alias,Coelemu:16203,
XVI,Treguaco - Region Del Ñuble,1,match_fuzzy_alias,Treguaco:16207,fuzzy
XVI,Comuna de San Ignacio y El Carmen,1,multi_completo,San Ignacio:16108; El Carmen:16104,
XVI,Comuna de Ñiquén,1,match_fuzzy_alias,Ñiquén:16303,
XVI,"Diversas Comunas de Ñuble, dependerá de la demanda Municipal",1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Comuna de San Nicolás,1,match_fuzzy_alias,San Nicolás:16305,
XVI,Comuna de Chillán y San Carlos.,1,multi_completo,Chillán:16101; San Carlos:16301,
XVI,Trehuaco - Region Del Ñuble,1,match_fuzzy_alias,Treguaco:16207,fuzzy
XVI,"Comuna de San Carlos, Chillán y San Fabián",1,multi_completo,San Carlos:16301; Chillán:16101; San Fabián:16304,
XVI,16 comunas de la región (cobertura territorial amplia).,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
XVI,Comuna de San Carlos y Ñiquén,1,multi_completo,San Carlos:16301; Ñiquén:16303,
XVI,Bulnes;Chillán;Chillán Viejo;Coihueco;El Carmen;Ñiquén;Pemuco;Pinto;Quillón;San Carlos;San Ignacio;San Nicolás;Yungay,1,multi_completo,Bulnes:16102; Chillán:16101; Chillán Viejo:16103; Coihueco:16302; El Carmen:16104; Ñiquén:16303; Pemuco:16105; Pinto:16106; Quillón:16107; San Carlos:16301; San Ignacio:16108; San Nicolás:16305; Yungay:16109,
XVI,"Comunas de El Carmen, Pinto y San Ignacio",1,multi_completo,El Carmen:16104; Pinto:16106; San Ignacio:16108,
XVI,Comuna de El Carmen,1,match_fuzzy_alias,El Carmen:16104,
XVI,Comuna de Ránquil,1,match_fuzzy_alias,Ranquil:16206,
XVI,Comuna de San Ignacio,1,match_fuzzy_alias,San Ignacio:16108,
XVI,Ranquil,1,match_directo,Ranquil:16206,
XVI,Chillán;Chillán Viejo;Quillón;San Carlos;Pinto;Coihueco;Cobquecura,1,multi_completo,Chillán:16101; Chillán Viejo:16103; Quillón:16107; San Carlos:16301; Pinto:16106; Coihueco:16302; Cobquecura:16202,
XVI,"Quirihue, coelemu, trehuaco",1,multi_completo,Quirihue:16201; Coelemu:16203; Treguaco:16207,trehuaco: fuzzy
