region,valor_original,n_iniciativas,categoria,comunas_matcheadas(cut),nota
VIII,SAN ROSENDO,1,match_directo,San Rosendo:8310,
VIII,San pedro de la Paz,1,match_directo,San Pedro de la Paz:8108,
VIII,Contulmo;Lebu;Curanilahue;Arauco;Florida;Mulchén;San Pedro de la Paz;Talcahuano;Concepción;Chiguayante;Hualpén;Tomé;Santa Juana;Los Ángeles;Quilaco;Yumbel;Tucapel;Nacimiento;Cabrero;Santa Bárbara;Alto Biobío,1,multi_completo,Contulmo:8204; Lebu:8201; Curanilahue:8205; Arauco:8202; Florida:8104; Mulchén:8305; San Pedro de la Paz:8108; Talcahuano:8110; Concepción:8101; Chiguayante:8103; Hualpén:8112; Tomé:8111; Santa Juana:8109; Los Angeles:8301; Quilaco:8308; Yumbel:8313; Tucapel:8312; Nacimiento:8306; Cabrero:8303; Santa Bárbara:8311; Alto Biobío:8314,
VIII,Biobío;Ñuble,1,bucket_regional,,"""Biobío"" es provincia/agrupación; ""Ñuble"" es provincia/agrupación"
VIII,San Pedro de La Paz,1,match_directo,San Pedro de la Paz:8108,
VIII,CONTULMO,1,match_directo,Contulmo:8204,
VIII,Provincia Biobío,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
VIII,Cobertura regional: comunas del Biobío informadas en correo de nivel central,1,bucket_regional,,"incluye ""regional"""
VIII,"Región del Biobío, a través de red OMIL y plataformas territoriales",1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
VIII,Antuco;Cabrero;Laja;Nacimiento;Los Ángeles;Tucapel;Santa Bárbara;Yumbel;Coronel;Lota;Penco;Tomé;San Pedro de la Paz;Chiguayante;Concepción;Hualpén;Talcahuano;Hualqui;Arauco;Curanilahue;Lebu;Los Álamos;Tirúa,1,multi_completo,Antuco:8302; Cabrero:8303; Laja:8304; Nacimiento:8306; Los Angeles:8301; Tucapel:8312; Santa Bárbara:8311; Yumbel:8313; Coronel:8102; Lota:8106; Penco:8107; Tomé:8111; San Pedro de la Paz:8108; Chiguayante:8103; Concepción:8101; Hualpén:8112; Talcahuano:8110; Hualqui:8105; Arauco:8202; Curanilahue:8205; Lebu:8201; Los Alamos:8206; Tirúa:8207,
VIII,San Pedro de la Paz;Coronel,1,multi_completo,San Pedro de la Paz:8108; Coronel:8102,
VIII,Arauco;Lebu;Cañete;Curanilahue;Los Álamos;Tirúa;Contulmo,1,multi_completo,Arauco:8202; Lebu:8201; Cañete:8203; Curanilahue:8205; Los Alamos:8206; Tirúa:8207; Contulmo:8204,
VIII,"Región del Biobío, según requerimientos empresariales levantados",1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
VIII,MULCHEN,1,match_directo,Mulchén:8305,
VIII,NACIMIENTO,1,match_directo,Nacimiento:8306,
VIII,Concepción;Talcahuano;Coronel;Hualpén;Chiguayante;Lota;Tomé;Hualqui;San Pedro de la Paz;Penco,1,multi_completo,Concepción:8101; Talcahuano:8110; Coronel:8102; Hualpén:8112; Chiguayante:8103; Lota:8106; Tomé:8111; Hualqui:8105; San Pedro de la Paz:8108; Penco:8107,
VIII,Los Ángeles;Coronel;Lota,1,multi_completo,Los Angeles:8301; Coronel:8102; Lota:8106,
VIII,Provincia de Arauco,1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
VIII,Santa Bárbara,1,match_directo,Santa Bárbara:8311,
